state,new_state,action,reward
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,7,2,0.0
0,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,1,2,0.0
1,0,0,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
0,0,3,0.0
0,0,0,0.0
0,1,2,0.0
1,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,7,2,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,1,2,0.0
1,0,0,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,1,2,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,7,1,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,3,0,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,7,1,0.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,7,1,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,0,0.0
0,1,2,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,1,2,0.0
1,2,2,0.0
2,2,3,0.0
2,5,1,100.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,7,1,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,1,2,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,4,1,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,1,2,0.0
1,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,7,1,100.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,1,2,0.0
1,0,0,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,1,2,0.0
1,0,0,0.0
0,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,1,3,0.0
1,0,0,0.0
0,0,3,0.0
0,3,1,0.0
